date,temp2_max(c),temp2_min(c),temp2_ave(c),suface_pressure(pa),wind_speed50_max(m/s),wind_speed50_min(m/s),wind_speed50_ave(m/s),prectotcorr,total_demand(mw),max_generation(mw)
2018-01-01,24.48,13.78,19.13,101.08,5.05,0.23,2.64,0.0,8000.0,7651.0
2018-01-02,23.16,15.28,19.22,100.94,6.2,1.59,3.895,0.01,7900.0,7782.0
2018-01-03,22.65,11.52,17.085,101.12,6.96,3.64,5.3,0.17,7900.0,7707.0
2018-01-04,20.32,8.19,14.255,101.34,5.91,1.54,3.725,0.34,8000.0,7715.0
2018-01-05,20.79,8.24,14.515,101.17,6.02,3.09,4.555,0.0,7200.0,6926.0
2018-01-06,21.08,7.8,14.44,101.1,5.72,2.17,3.945,0.0,8000.0,7616.0
2018-01-07,19.84,7.42,13.63,101.26,4.6,1.73,3.165,0.0,7900.0,7700.0
2018-01-08,19.33,8.52,13.925,101.48,4.36,0.71,2.535,0.0,7900.0,7868.0
2018-01-09,19.47,7.08,13.275,101.59,3.59,1.54,2.565,0.0,7900.0,7895.0
2018-01-10,19.65,6.43,13.04,101.61,4.88,1.43,3.155,0.0,8000.0,7755.0
2018-01-11,19.15,7.83,13.49,101.53,3.72,1.34,2.53,0.0,7900.0,7972.0
2018-01-12,20.31,8.9,14.605,101.43,3.56,1.34,2.45,0.0,7500.0,7020.0
2018-01-13,20.99,10.04,15.515,101.37,3.43,0.09,1.76,0.0,7900.0,7842.0
2018-01-14,21.15,9.95,15.55,101.42,5.84,1.96,3.9,0.0,8100.0,7627.0
2018-01-15,21.63,9.28,15.455,101.33,5.25,1.83,3.54,0.0,7900.0,7970.0
2018-01-16,22.05,10.21,16.13,101.28,5.23,2.21,3.72,0.0,8000.0,7784.0
2018-01-17,22.9,10.01,16.455,101.28,5.81,1.77,3.79,0.0,7900.0,8061.0
2018-01-18,23.89,10.44,17.165,101.26,5.5,1.52,3.51,0.0,8100.0,7878.0
2018-01-19,22.87,9.63,16.25,101.36,4.24,1.81,3.025,0.0,7500.0,7273.0
2018-01-20,22.49,10.07,16.28,101.26,3.62,1.22,2.42,0.0,8000.0,7684.0
